번호,작성자,작성일,댓글,회차,좋아요,대댓글수,댓글_전처리,댓글_토큰,감정_라벨
1406,Anne,15.12.20,실례 하다 부회장 넘다 귀엽다,김 비서가 왜 그럴까(애장판) 35화,8,댓글 달기,실례 하다 부회장 넘다 귀엽다,"['실례', '하다', '부회장', '넘다', '귀엽다']",Positive
1407,쟈스민,15.12.20,영준 완전하다 미소 마음 빼앗기다 버리다 원래 미소 마음 얻다 하다 걸다 미소 마음 보다 영준 마음 움직 버리다 이제 제대로 되다 로맨스 시작 폭축 터지다,김 비서가 왜 그럴까(애장판) 17화,8,댓글 달기,영준 완전하다 미소 마음 빼앗기다 버리다 원래 미소 마음 얻다 하다 걸다 미소 마음 보다 영준 마음 움직 버리다 이제 제대로 되다 로맨스 시작 폭축 터지다,"['영준', '완전하다', '미소', '마음', '빼앗기다', '버리다', '원래', '미소', '마음', '얻다', '하다', '걸다', '미소', '마음', '보다', '영준', '마음', '움직', '버리다', '이제', '제대로', '되다', '로맨스', '시작', '폭축', '터지다']",Positive
1408,륜.,15.12.19,사르 가다 기다리다 힘들다,김 비서가 왜 그럴까(애장판) 23화,8,댓글 달기,사르 가다 기다리다 힘들다,"['사르', '가다', '기다리다', '힘들다']",Negative
1409,니냐니뇨,15.12.19,어떻다 할껀 다말 하다 상상,김 비서가 왜 그럴까(애장판) 62화,8,댓글 달기,어떻다 할껀 다말 하다 상상,"['어떻다', '할껀', '다말', '하다', '상상']",Neutral
1410,쮸시랑,15.12.18,진짜 터지다 웃다 박박사,김 비서가 왜 그럴까(애장판) 12화,8,댓글 달기,진짜 터지다 웃다 박박사,"['진짜', '터지다', '웃다', '박박사']",Positive
1411,니냐니뇨,15.12.17,금연 고통 의처증 우주 최강 나르시시스트 이영준 사랑 하다 여자 하룻강아지,김 비서가 왜 그럴까(애장판) 59화,8,댓글 달기,금연 고통 의처증 우주 최강 나르시시스트 이영준 사랑 하다 여자 하룻강아지,"['금연', '고통', '의처증', '우주', '최강', '나르시시스트', '이영준', '사랑', '하다', '여자', '하룻강아지']",Neutral
1412,으르릉,15.12.16,재벌 정략 결혼 하다 그것 아니다 가볍다,김 비서가 왜 그럴까(애장판) 11화,8,댓글 달기,재벌 정략 결혼 하다 그것 아니다 가볍다,"['재벌', '정략', '결혼', '하다', '그것', '아니다', '가볍다']",Neutral
1413,레이,15.12.16,사모님 나이 스샷,김 비서가 왜 그럴까(애장판) 11화,8,댓글 달기,사모님 나이 스샷,"['사모님', '나이', '스샷']",Neutral
1414,천사카라,15.12.14,광대 승천 엄마 미소 나오다,김 비서가 왜 그럴까(애장판) 66화,8,댓글 달기,광대 승천 엄마 미소 나오다,"['광대', '승천', '엄마', '미소', '나오다']",Positive
1415,후치,15.12.13,역시 오빠 영준 영준 기억 하다,김 비서가 왜 그럴까(애장판) 10화,8,2,역시 오빠 영준 영준 기억 하다,"['역시', '오빠', '영준', '영준', '기억', '하다']",Neutral
1416,유리야,15.12.13,복도 많다,김 비서가 왜 그럴까(애장판) 52화,8,댓글 달기,복도 많다,"['복도', '많다']",Positive
1417,니냐니뇨,15.12.13,영준 웃기 친구 유식 웃겨욤,김 비서가 왜 그럴까(애장판) 47화,8,댓글 달기,영준 웃기 친구 유식 웃겨욤,"['영준', '웃기', '친구', '유식', '웃겨욤']",Neutral
1418,달의정원,15.12.11,성연아,김 비서가 왜 그럴까(애장판) 47화,8,댓글 달기,성연아,['성연아'],Neutral
1419,렛씨유,15.12.10,장하다 오빠,김 비서가 왜 그럴까(애장판) 53화,8,댓글 달기,장하다 오빠,"['장하다', '오빠']",Positive
1420,디아크시,15.12.09,회장 귀엽다,김 비서가 왜 그럴까(애장판) 10화,8,댓글 달기,회장 귀엽다,"['회장', '귀엽다']",Positive
1421,오이베리핑크맘,15.12.08,조건 따다,김 비서가 왜 그럴까(애장판) 10화,8,댓글 달기,조건 따다,"['조건', '따다']",Neutral
1422,로설이조아😁😍😘,15.12.08,성연 정신차리다 반성 하다 마무리 자다 되다 하다 죄책감 어리석다 하다 조마조마 하다 주인공 커플 냥짓 보여주다,김 비서가 왜 그럴까(애장판) 56화,8,댓글 달기,성연 정신차리다 반성 하다 마무리 자다 되다 하다 죄책감 어리석다 하다 조마조마 하다 주인공 커플 냥짓 보여주다,"['성연', '정신차리다', '반성', '하다', '마무리', '자다', '되다', '하다', '죄책감', '어리석다', '하다', '조마조마', '하다', '주인공', '커플', '냥짓', '보여주다']",Negative
1423,로설이조아😁😍😘,15.12.08,성현 오빠 멋지다,김 비서가 왜 그럴까(애장판) 55화,8,2,성현 오빠 멋지다,"['성현', '오빠', '멋지다']",Positive
1424,로설이조아😁😍😘,15.12.08,좋아하다 얘기 결혼 하다 얘기 끄다 어쨌든 어리다 혼약 하다,김 비서가 왜 그럴까(애장판) 54화,8,3,좋아하다 얘기 결혼 하다 얘기 끄다 어쨌든 어리다 혼약 하다,"['좋아하다', '얘기', '결혼', '하다', '얘기', '끄다', '어쨌든', '어리다', '혼약', '하다']",Positive
1425,rang,15.12.08,찾다 오빠 지척 두다 영준 고용 아니다,김 비서가 왜 그럴까(애장판) 05화,8,댓글 달기,찾다 오빠 지척 두다 영준 고용 아니다,"['찾다', '오빠', '지척', '두다', '영준', '고용', '아니다']",Neutral
1426,지니,15.12.08,남다 완전 장구 치네다 푸하하하,김 비서가 왜 그럴까(애장판) 08화,8,댓글 달기,남다 완전 장구 치네다 푸하하하,"['남다', '완전', '장구', '치네다', '푸하하하']",Neutral
1427,로설이조아😁😍😘,15.12.08,아프다 기억 서로 제대로 기억 하다 제대로 현실 딛다 살다 좋다,김 비서가 왜 그럴까(애장판) 40화,8,댓글 달기,아프다 기억 서로 제대로 기억 하다 제대로 현실 딛다 살다 좋다,"['아프다', '기억', '서로', '제대로', '기억', '하다', '제대로', '현실', '딛다', '살다', '좋다']",Positive
1428,로설이조아😁😍😘,15.12.08,콜튼 생겨나다 집요하다 집착 시작 끄다 기왕 이면 달달 하다,김 비서가 왜 그럴까(애장판) 18화,8,댓글 달기,콜튼 생겨나다 집요하다 집착 시작 끄다 기왕 이면 달달 하다,"['콜튼', '생겨나다', '집요하다', '집착', '시작', '끄다', '기왕', '이면', '달달', '하다']",Positive
1429,니냐니뇨,15.12.07,,김 비서가 왜 그럴까(애장판) 38화,8,댓글 달기,,[],Neutral
1430,퍼팩트데이,15.12.07,슬프다 미소,김 비서가 왜 그럴까(애장판) 11화,8,댓글 달기,슬프다 미소,"['슬프다', '미소']",Neutral
1431,그공사_꽃길만_걷자♡,19.12.15,진짜 여우 보다 웹툰 그렇다 소설 표지 그렇다 미소 보다 여우 부르다 성형수술 하다 지도 하든 하다 되다 외모 바꾸다 싶다 정당하다 내다 수술 받다 잘못 이다,김 비서가 왜 그럴까(애장판) 65화,7,댓글 달기,진짜 여우 보다 웹툰 그렇다 소설 표지 그렇다 미소 보다 여우 부르다 성형수술 하다 지도 하든 하다 되다 외모 바꾸다 싶다 정당하다 내다 수술 받다 잘못 이다,"['진짜', '여우', '보다', '웹툰', '그렇다', '소설', '표지', '그렇다', '미소', '보다', '여우', '부르다', '성형수술', '하다', '지도', '하든', '하다', '되다', '외모', '바꾸다', '싶다', '정당하다', '내다', '수술', '받다', '잘못', '이다']",Positive
1432,날고싶은,19.05.25,거미 자살 사람 건가 보다 거리 일정하다 소음 그렇다 트라우마 여서 기억 지워지다,김 비서가 왜 그럴까(애장판) 08화,7,댓글 달기,거미 자살 사람 건가 보다 거리 일정하다 소음 그렇다 트라우마 여서 기억 지워지다,"['거미', '자살', '사람', '건가', '보다', '거리', '일정하다', '소음', '그렇다', '트라우마', '여서', '기억', '지워지다']",Negative
1433,안녕,18.08.21,배댓 스포 깨닫다 오늘 스포 하다 가다 영준 미소 짐승,김 비서가 왜 그럴까(애장판) 67화,7,댓글 달기,배댓 스포 깨닫다 오늘 스포 하다 가다 영준 미소 짐승,"['배댓', '스포', '깨닫다', '오늘', '스포', '하다', '가다', '영준', '미소', '짐승']",Neutral
1434,이인정,18.07.09,옛말 늦다 배우다 도둑질 새다 모르다 보고 하다 소리 부끄럼,김 비서가 왜 그럴까(애장판) 66화,7,댓글 달기,옛말 늦다 배우다 도둑질 새다 모르다 보고 하다 소리 부끄럼,"['옛말', '늦다', '배우다', '도둑질', '새다', '모르다', '보고', '하다', '소리', '부끄럼']",Neutral
1435,체리,18.06.27,신혼 외전 쓰다 말다 나오다 제일 좋다 추가 외전 좋다 지금 별로,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,7,댓글 달기,신혼 외전 쓰다 말다 나오다 제일 좋다 추가 외전 좋다 지금 별로,"['신혼', '외전', '쓰다', '말다', '나오다', '제일', '좋다', '추가', '외전', '좋다', '지금', '별로']",Positive
1436,♡아이러브~레몬파이,18.06.27,박력 터지다 키스 찍다 숙면 취하 보다 웃기 하다 배다 번만 박력 터지다 미소 깁스 하다 하다,김 비서가 왜 그럴까(애장판) 42화,7,댓글 달기,박력 터지다 키스 찍다 숙면 취하 보다 웃기 하다 배다 번만 박력 터지다 미소 깁스 하다 하다,"['박력', '터지다', '키스', '찍다', '숙면', '취하', '보다', '웃기', '하다', '배다', '번만', '박력', '터지다', '미소', '깁스', '하다', '하다']",Positive
1437,ㅎㅎ,18.06.25,애초 기억 잃다 없다 진실 모면 하다 만들다 거짓 가려지다 않다 우리나라 국민 라면 한번 겪다 아니다,김 비서가 왜 그럴까(애장판) 27화,7,댓글 달기,애초 기억 잃다 없다 진실 모면 하다 만들다 거짓 가려지다 않다 우리나라 국민 라면 한번 겪다 아니다,"['애초', '기억', '잃다', '없다', '진실', '모면', '하다', '만들다', '거짓', '가려지다', '않다', '우리나라', '국민', '라면', '한번', '겪다', '아니다']",Negative
1438,먼저꼬시기는..,18.06.23,과거 지금 달라지다 하다 이해 가다,김 비서가 왜 그럴까(애장판) 62화,7,댓글 달기,과거 지금 달라지다 하다 이해 가다,"['과거', '지금', '달라지다', '하다', '이해', '가다']",Neutral
1439,리붐브,18.06.22,이렇다 인간미 괜찮다 색다르다 느낌 이지 않다 들다 환상 깨다 화나다,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,7,댓글 달기,이렇다 인간미 괜찮다 색다르다 느낌 이지 않다 들다 환상 깨다 화나다,"['이렇다', '인간미', '괜찮다', '색다르다', '느낌', '이지', '않다', '들다', '환상', '깨다', '화나다']",Negative
1440,가을달,18.06.21,결혼 십년 가깝다 오지 슬리퍼 외출 아무 던지다 변기 뚜껑 리다 뭔가 먹다 치우다 닦다 산더미 가르다 치기 하다 아들 남편 뭐라다 지다 그렇다 무지 돼다 웃프 캐붕같진 않다 원래 영준 나르시스트 자다 삐지다 남자 아니다,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,7,댓글 달기,결혼 십년 가깝다 오지 슬리퍼 외출 아무 던지다 변기 뚜껑 리다 뭔가 먹다 치우다 닦다 산더미 가르다 치기 하다 아들 남편 뭐라다 지다 그렇다 무지 돼다 웃프 캐붕같진 않다 원래 영준 나르시스트 자다 삐지다 남자 아니다,"['결혼', '십년', '가깝다', '오지', '슬리퍼', '외출', '아무', '던지다', '변기', '뚜껑', '리다', '뭔가', '먹다', '치우다', '닦다', '산더미', '가르다', '치기', '하다', '아들', '남편', '뭐라다', '지다', '그렇다', '무지', '돼다', '웃프', '캐붕같진', '않다', '원래', '영준', '나르시스트', '자다', '삐지다', '남자', '아니다']",Negative
1441,선&준mam,18.06.21,역시 미소 영준 그냥 평범하다 부부 최여사 이십,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,7,댓글 달기,역시 미소 영준 그냥 평범하다 부부 최여사 이십,"['역시', '미소', '영준', '그냥', '평범하다', '부부', '최여사', '이십']",Positive
1442,......,18.06.17,감당 하다 무겁다 기억 증명 하다 잘나다 사람 되다 하다 아니다 숨다 없다 되다 않다 상처 커지다,김 비서가 왜 그럴까(애장판) 27화,7,댓글 달기,감당 하다 무겁다 기억 증명 하다 잘나다 사람 되다 하다 아니다 숨다 없다 되다 않다 상처 커지다,"['감당', '하다', '무겁다', '기억', '증명', '하다', '잘나다', '사람', '되다', '하다', '아니다', '숨다', '없다', '되다', '않다', '상처', '커지다']",Negative
1443,행복한그녀,18.06.13,박서준,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 2화,7,댓글 달기,박서준,['박서준'],Neutral
1444,민지,18.06.13,수능 생각 현모양처 일반 의식 이상하다 건가 소설 웹툰 보다 단서 미리 나오다,김 비서가 왜 그럴까(애장판) 10화,7,1,수능 생각 현모양처 일반 의식 이상하다 건가 소설 웹툰 보다 단서 미리 나오다,"['수능', '생각', '현모양처', '일반', '의식', '이상하다', '건가', '소설', '웹툰', '보다', '단서', '미리', '나오다']",Negative
1445,시우하나,18.06.10,다시 읽다 페이지 수가 달라지다 완전 스포,김 비서가 왜 그럴까(애장판) 68화,7,댓글 달기,다시 읽다 페이지 수가 달라지다 완전 스포,"['다시', '읽다', '페이지', '수가', '달라지다', '완전', '스포']",Negative
1446,수줍스줍,18.06.08,보다 성연 납치 되어다 기억 보다 당시 버리다 동생 입장 확실하다 묘사 하다 돌아오다 생각 하다 이야기 하다 이야기 당시 동생 버리다 생각,김 비서가 왜 그럴까(애장판) 36화,7,댓글 달기,보다 성연 납치 되어다 기억 보다 당시 버리다 동생 입장 확실하다 묘사 하다 돌아오다 생각 하다 이야기 하다 이야기 당시 동생 버리다 생각,"['보다', '성연', '납치', '되어다', '기억', '보다', '당시', '버리다', '동생', '입장', '확실하다', '묘사', '하다', '돌아오다', '생각', '하다', '이야기', '하다', '이야기', '당시', '동생', '버리다', '생각']",Negative
1447,피리용,18.03.24,새롭다 바뀌다 파일 기존 부조화,김 비서가 왜 그럴까(애장판) 83화,7,댓글 달기,새롭다 바뀌다 파일 기존 부조화,"['새롭다', '바뀌다', '파일', '기존', '부조화']",Negative
1448,^^;,18.01.26,아침 일어나다 보다 김비 서다 목소리 신음 소리 감기 흐흫,김 비서가 왜 그럴까(애장판) 64화,7,댓글 달기,아침 일어나다 보다 김비 서다 목소리 신음 소리 감기 흐흫,"['아침', '일어나다', '보다', '김비', '서다', '목소리', '신음', '소리', '감기', '흐흫']",Negative
1449,jjjj,18.01.25,수능 프로 과외 하다 알바 보다 대우 좋다 급여 빵빵 하다,김 비서가 왜 그럴까(애장판) 11화,7,3,수능 프로 과외 하다 알바 보다 대우 좋다 급여 빵빵 하다,"['수능', '프로', '과외', '하다', '알바', '보다', '대우', '좋다', '급여', '빵빵', '하다']",Positive
1450,돼지런한일상,18.01.24,태양 로라 만나다 하다,김 비서가 왜 그럴까(애장판) 75화,7,댓글 달기,태양 로라 만나다 하다,"['태양', '로라', '만나다', '하다']",Neutral
